STUDENT,CLASS,PERIOD
 366,301B,  3
 366,302G,  4
 366,303C,  2
 366,304A,  7
 366,505F,  5
 366,506A,  6
 366,507B,  1
 368,301G,  4
 368,302D,  1
 368,303B,  6
 368,304F,  5
 368,313B,  2
 368,501D,  7
 368,502C,  3
 370,301G,  4
 370,302C,  6
 370,303C,  2
 370,304A,  7
 370,505A,  1
 370,506E,  5
 370,507F,  3
 372,301C,  5
 372,302D,  1
 372,303A,  3
 372,304G,  2
 372,313A,  7
 372,501A,  6
 372,502G,  4
 374,301E,  7
 374,302G,  4
 374,303C,  2
 374,304F,  5
 374,505D,  6
 374,506B,  1
 374,507F,  3
 376,401B,  4
 376,402D,  3
 376,403E,  1
 376,404A,  5
 376,411A,  7
 376,412A,  6
 376,413A,  2
 378,401G,  7
 378,402A,  1
 378,403F,  6
 378,404B,  2
 378,503G,  4
 378,504C,  3
 378,505F,  5
 380,401F,  3
 380,402G,  5
 380,403D,  2
 380,404C,  7
 380,411B,  1
 380,412A,  6
 380,413B,  4
 382,401B,  4
 382,402C,  6
 382,403E,  1
 382,404A,  5
 382,503C,  7
 382,504C,  3
 382,505B,  2
 384,401E,  5
 384,402A,  1
 384,403C,  4
 384,404E,  3
 384,411A,  7
 384,412A,  6
 384,413A,  2
 386,401F,  3
 386,402C,  6
 386,403D,  2
 386,404C,  7
 386,503F,  1
 386,504D,  4
 386,505F,  5
 388,401G,  7
 388,402D,  3
 388,403C,  4
 388,404A,  5
 388,411B,  1
 388,412A,  6
 388,413A,  2
 390,401D,  1
 390,402B,  4
 390,403F,  6
 390,404C,  7
 390,503B,  5
 390,504C,  3
 390,505B,  2
 392,401F,  3
 392,402E,  7
 392,403C,  4
 392,404A,  5
 392,411B,  1
 392,412A,  6
 392,413A,  2
 394,401B,  4
 394,402D,  3
 394,403E,  1
 394,404B,  2
 394,503E,  6
 394,504G,  7
 394,505F,  5
 396,401D,  1
 396,402G,  5
 396,403D,  2
 396,404F,  6
 396,411A,  7
 396,412B,  3
 396,413B,  4
 398,401F,  3
 398,402B,  4
 398,403B,  7
 398,404A,  5
 398,503F,  1
 398,504F,  2
 398,505D,  6
 400,401E,  5
 400,402E,  7
 400,403F,  6
 400,404B,  2
 400,411B,  1
 400,412B,  3
 400,413B,  4
 402,401C,  6
 402,402F,  2
 402,403G,  3
 402,404C,  7
 402,503F,  1
 402,504D,  4
 402,505F,  5
 404,401E,  5
 404,402B,  4
 404,403B,  7
 404,404F,  6
 404,411B,  1
 404,412B,  3
 404,413A,  2
 406,401G,  7
 406,402B,  4
 406,403E,  1
 406,404E,  3
 406,503B,  5
 406,504A,  6
 406,505B,  2
 408,401D,  1
 408,402G,  5
 408,403F,  6
 408,404D,  4
 408,411A,  7
 408,412B,  3
 408,413A,  2
 410,401C,  6
 410,402D,  3
 410,403B,  7
 410,404G,  1
 410,503B,  5
 410,504F,  2
 410,505C,  4
 412,401E,  5
 412,402E,  7
 412,403G,  3
 412,404B,  2
 412,411B,  1
 412,412A,  6
 412,413B,  4
 414,401F,  3
 414,402B,  4
 414,403A,  5
 414,404G,  1
 414,503E,  6
 414,504G,  7
 414,505B,  2
 416,401E,  5
 416,402E,  7
 416,403C,  4
 416,404E,  3
 416,411B,  1
 416,412A,  6
 416,413A,  2
 418,401B,  4
 418,402F,  2
 418,403B,  7
 418,404E,  3
 418,503B,  5
 418,504A,  6
 418,505A,  1
 420,401D,  1
 420,402F,  2
 420,403A,  5
 420,404F,  6
 420,411A,  7
 420,412B,  3
 420,413B,  4
 422,401A,  2
 422,402C,  6
 422,403G,  3
 422,404C,  7
 422,503B,  5
 422,504B,  1
 422,505C,  4
 424,401B,  4
 424,402G,  5
 424,403E,  1
 424,404E,  3
 424,411A,  7
 424,412A,  6
 424,413A,  2
 426,401D,  1
 426,402G,  5
 426,403F,  6
 426,404B,  2
 426,503A,  3
 426,504D,  4
 426,505E,  7
 428,401G,  7
 428,402B,  4
 428,403A,  5
 428,404E,  3
 428,411B,  1
 428,412A,  6
 428,413A,  2
 430,401E,  5
 430,402A,  1
 430,403G,  3
 430,404F,  6
 430,503D,  2
 430,504D,  4
 430,505E,  7
 432,401C,  6
 432,402G,  5
 432,403D,  2
 432,404G,  1
 432,411A,  7
 432,412B,  3
 432,413B,  4
 434,401F,  3
 434,402G,  5
 434,403E,  1
 434,404F,  6
 434,503G,  4
 434,504F,  2
 434,505E,  7
 436,401A,  2
 436,402G,  5
 436,403E,  1
 436,404E,  3
 436,411A,  7
 436,412A,  6
 436,413B,  4
 438,401G,  7
 438,402A,  1
 438,403D,  2
 438,404F,  6
 438,503G,  4
 438,504C,  3
 438,505F,  5
 440,401G,  7
 440,402C,  6
 440,403D,  2
 440,404A,  5
 440,411B,  1
 440,412B,  3
 440,413B,  4
 442,401C,  6
 442,402B,  4
 442,403A,  5
 442,404G,  1
